,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,bio_source_TE_RNA_cor_value_nond,0,0.24358383694272434,0.49355543598376683,0.43602873919627244,0.03947933868498981,5.735474109649658
1,bio_source_TE_RNA_cor_value_nond,1,0.24123186591518297,0.4955456367058096,0.4511012794596455,0.035964253940052836,5.752656936645508
2,bio_source_TE_RNA_cor_value_nond,2,0.2741616934507054,0.5264413330140605,0.4960955166852494,0.03542493680161659,5.831717014312744
3,bio_source_TE_RNA_cor_value_nond,3,0.23066288475148933,0.4812757677177098,0.4542919756041395,0.035568900772269346,5.738558292388916
4,bio_source_TE_RNA_cor_value_nond,4,0.20157148561228577,0.4526431096665372,0.4026729676363848,0.03717011357665724,5.7571821212768555
5,bio_source_TE_RNA_cor_value_nond,5,0.2084771935272698,0.4569249898764442,0.4268122280785352,0.0398570729334697,5.742960453033447
6,bio_source_TE_RNA_cor_value_nond,6,0.22166681981147351,0.47190679794657076,0.45410398032394755,0.03882289496845215,5.729895353317261
7,bio_source_TE_RNA_cor_value_nond,7,0.26680928389233916,0.5187181247882624,0.45189117357518943,0.03928456552368144,5.75210428237915
8,bio_source_TE_RNA_cor_value_nond,8,0.1815314392421059,0.4330020284366868,0.40286929976150193,0.0373235757407684,5.749108552932739
9,bio_source_TE_RNA_cor_value_nond,9,0.2530797828469771,0.5053794069947055,0.47226329442021087,0.03715195805261291,5.845736265182495
10,bio_source_TE_RNA_cor_value_nond,mean,0.23227762859925533,0.4835392631130553,0.44481304547410766,0.03760476109945703,5.763539338111878
