,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,bio_source_TE_RNA_cor_value_nond,0,0.23214840471668685,0.48699525006122785,0.43592095189952235,0.03638866250108718,5.323952674865723
1,bio_source_TE_RNA_cor_value_nond,1,0.26424864594989594,0.5148890786608207,0.4773510373578403,0.033942631372210895,5.322706699371338
2,bio_source_TE_RNA_cor_value_nond,2,0.2513962443007194,0.5022904938804214,0.4507602201329139,0.033982550356566416,5.420871019363403
3,bio_source_TE_RNA_cor_value_nond,3,0.22949868587172817,0.48034477139633647,0.46247978643957777,0.03825022417448639,5.331651210784912
4,bio_source_TE_RNA_cor_value_nond,4,0.2924823750840966,0.5450320078568356,0.5097923917112109,0.030009280821319425,5.327817916870117
5,bio_source_TE_RNA_cor_value_nond,5,0.28629900484111304,0.5354787447764522,0.5002161466464725,0.033602938310079995,5.315704107284546
6,bio_source_TE_RNA_cor_value_nond,6,0.22729484679173406,0.4782401451858472,0.4404437709073719,0.03499022709652782,5.314795017242432
7,bio_source_TE_RNA_cor_value_nond,7,0.263661693785998,0.5135018902401823,0.4757449285065255,0.03421777952968307,5.336012125015259
8,bio_source_TE_RNA_cor_value_nond,8,0.29412867712493074,0.5428185742115734,0.5076475642536558,0.029735084818426342,5.343694686889648
9,bio_source_TE_RNA_cor_value_nond,9,0.24614145035772428,0.49758555295789964,0.46695719919849454,0.037829226159621136,5.433634281158447
10,bio_source_TE_RNA_cor_value_nond,mean,0.25873000288246273,0.5097176509227597,0.4727313997053586,0.034294860514000866,5.347083973884582
